employee_id,project_id,date,planned_hours,actual_hours,capacity
E010,P001,2026-01-14,4.82,3.95,6.0
E001,P002,2026-01-15,3.05,3.32,7.2
E002,P003,2026-01-15,7.92,7.57,8.0
E003,P002,2026-01-15,1.0,1.32,4.0
E004,P003,2026-01-15,6.7,8.14,7.2
E005,P001,2026-01-15,4.89,5.85,7.2
E006,P003,2026-01-15,0.82,2.44,8.0
E007,P002,2026-01-15,1.99,1.54,4.0
E008,P001,2026-01-15,3.58,3.14,4.0
E009,P001,2026-01-15,6.52,4.88,7.2
E010,P003,2026-01-15,5.74,6.45,6.0
E001,P003,2026-01-16,3.55,1.88,7.2
E002,P001,2026-01-16,2.35,1.66,8.0
E003,P003,2026-01-16,0.85,2.64,4.0
E004,P001,2026-01-16,0.82,2.54,7.2
E005,P002,2026-01-16,0.41,0.61,7.2
E006,P001,2026-01-16,5.9,6.08,8.0
E007,P003,2026-01-16,0.47,0.0,4.0
E008,P002,2026-01-16,3.35,4.82,4.0
E009,P002,2026-01-16,0.61,1.41,7.2
E010,P002,2026-01-16,2.38,3.95,6.0
E001,P002,2026-01-17,0.59,0.0,7.2
E002,P003,2026-01-17,4.65,6.1,8.0
E003,P002,2026-01-17,3.25,5.04,4.0
E004,P001,2026-01-17,4.26,3.66,7.2
E005,P003,2026-01-17,3.47,2.98,7.2
E006,P003,2026-01-17,3.39,5.02,8.0
E007,P003,2026-01-17,1.74,0.75,4.0
E008,P002,2026-01-17,1.87,0.1,4.0
E009,P001,2026-01-17,5.92,6.9,7.2
E010,P003,2026-01-17,3.5,5.35,6.0
E001,P003,2026-01-18,3.44,1.77,7.2
E002,P001,2026-01-18,1.79,3.64,8.0
E003,P001,2026-01-18,3.88,2.05,4.0
E004,P001,2026-01-18,0.31,2.01,7.2
E005,P001,2026-01-18,1.82,2.6,7.2
E006,P001,2026-01-18,4.18,4.7,8.0
E007,P002,2026-01-18,1.18,3.16,4.0
E008,P002,2026-01-18,2.34,3.94,4.0
E009,P001,2026-01-18,6.59,8.42,7.2
E010,P002,2026-01-18,2.73,3.21,6.0
E001,P002,2026-01-19,1.35,1.21,7.2
E002,P002,2026-01-19,1.84,0.9,8.0
E003,P001,2026-01-19,3.9,5.84,4.0
E004,P002,2026-01-19,0.23,0.0,7.2
E005,P001,2026-01-19,5.86,6.6,7.2
E006,P001,2026-01-19,1.07,0.0,8.0
E007,P002,2026-01-19,3.8,4.7,4.0
E008,P003,2026-01-19,3.68,2.01,4.0
E009,P002,2026-01-19,6.24,4.42,7.2
E010,P003,2026-01-19,2.47,3.58,6.0
E001,P002,2026-01-20,7.11,5.71,7.2
E002,P001,2026-01-20,6.0,5.57,8.0
E003,P003,2026-01-20,3.37,4.72,4.0
E004,P002,2026-01-20,0.27,0.0,7.2
E005,P001,2026-01-20,0.41,1.86,7.2
E006,P001,2026-01-20,4.27,5.27,8.0
E007,P003,2026-01-20,2.22,3.3,4.0
E008,P001,2026-01-20,3.03,2.54,4.0
E009,P001,2026-01-20,3.24,1.76,7.2
E010,P003,2026-01-20,1.65,0.48,6.0
E001,P001,2026-01-21,4.84,5.31,7.2
E002,P003,2026-01-21,0.91,1.59,8.0
E003,P002,2026-01-21,1.9,3.23,4.0
E004,P002,2026-01-21,6.14,6.34,7.2
E005,P001,2026-01-21,0.64,1.8,7.2
E006,P001,2026-01-21,1.07,0.0,8.0
E007,P003,2026-01-21,3.14,3.7,4.0
E008,P003,2026-01-21,0.85,0.0,4.0
E009,P002,2026-01-21,2.52,2.88,7.2
E010,P002,2026-01-21,3.33,1.69,6.0
E001,P002,2026-01-22,2.51,2.56,7.2
E002,P003,2026-01-22,3.17,3.66,8.0
E003,P003,2026-01-22,2.79,3.98,4.0
E004,P002,2026-01-22,6.67,6.64,7.2
E005,P001,2026-01-22,7.06,7.03,7.2
E006,P001,2026-01-22,1.67,1.99,8.0
E007,P003,2026-01-22,0.3,0.0,4.0
E008,P003,2026-01-22,2.34,1.94,4.0
E009,P001,2026-01-22,6.46,6.35,7.2
E010,P001,2026-01-22,5.84,6.25,6.0
E001,P003,2026-01-23,0.29,0.0,7.2
E002,P002,2026-01-23,1.42,0.0,8.0
E003,P001,2026-01-23,2.14,1.56,4.0
E004,P002,2026-01-23,2.62,2.64,7.2
E005,P001,2026-01-23,2.32,0.68,7.2
E006,P003,2026-01-23,5.02,3.35,8.0
E007,P002,2026-01-23,0.63,0.14,4.0
E008,P001,2026-01-23,1.11,2.33,4.0
E009,P001,2026-01-23,4.3,6.25,7.2
E010,P003,2026-01-23,2.22,2.16,6.0
E001,P002,2026-01-24,5.47,5.6,7.2
E002,P002,2026-01-24,5.98,4.13,8.0
E003,P003,2026-01-24,2.85,4.43,4.0
E004,P002,2026-01-24,5.4,3.52,7.2
E005,P002,2026-01-24,3.22,3.35,7.2
E006,P003,2026-01-24,0.84,1.79,8.0
E007,P002,2026-01-24,2.26,3.62,4.0
E008,P002,2026-01-24,1.31,0.0,4.0
E009,P001,2026-01-24,2.47,2.36,7.2
E010,P002,2026-01-24,4.74,4.73,6.0
E001,P003,2026-01-25,4.21,5.15,7.2
E002,P003,2026-01-25,5.96,5.69,8.0
E003,P003,2026-01-25,1.52,0.86,4.0
E004,P002,2026-01-25,4.37,3.35,7.2
E005,P003,2026-01-25,7.1,7.53,7.2
E006,P001,2026-01-25,0.06,0.0,8.0
E007,P002,2026-01-25,0.98,0.0,4.0
E008,P003,2026-01-25,0.35,1.58,4.0
E009,P003,2026-01-25,6.06,4.27,7.2
E010,P003,2026-01-25,2.46,4.39,6.0
E001,P003,2026-01-26,6.46,6.76,7.2
E002,P003,2026-01-26,6.92,8.19,8.0
E003,P001,2026-01-26,1.96,2.85,4.0
E004,P002,2026-01-26,6.69,6.92,7.2
E005,P002,2026-01-26,2.02,3.09,7.2
E006,P002,2026-01-26,7.74,8.59,8.0
E007,P001,2026-01-26,2.94,3.06,4.0
E008,P001,2026-01-26,2.44,1.6,4.0
E009,P001,2026-01-26,3.64,5.37,7.2
E010,P001,2026-01-26,3.2,1.4,6.0
E001,P002,2026-01-27,3.27,3.47,7.2
E002,P002,2026-01-27,7.92,7.21,8.0
E003,P002,2026-01-27,0.35,0.0,4.0
E004,P001,2026-01-27,5.47,5.86,7.2
E005,P002,2026-01-27,2.97,2.36,7.2
E006,P001,2026-01-27,6.81,7.79,8.0
E007,P002,2026-01-27,0.5,1.42,4.0
E008,P001,2026-01-27,0.82,0.34,4.0
E009,P001,2026-01-27,5.34,5.63,7.2
E010,P001,2026-01-27,0.84,2.02,6.0
E001,P002,2026-01-28,5.76,7.06,7.2
E002,P001,2026-01-28,6.52,7.18,8.0
E003,P002,2026-01-28,3.63,2.9,4.0
E004,P002,2026-01-28,2.83,4.09,7.2
E005,P003,2026-01-28,5.14,6.74,7.2
E006,P001,2026-01-28,2.41,3.4,8.0
E007,P003,2026-01-28,2.31,1.73,4.0
E008,P003,2026-01-28,1.54,1.71,4.0
E009,P003,2026-01-28,3.91,3.63,7.2
E010,P003,2026-01-28,3.77,3.11,6.0
E001,P003,2026-01-29,6.33,6.31,7.2
E002,P002,2026-01-29,7.15,8.31,8.0
E003,P002,2026-01-29,3.01,3.84,4.0
E004,P003,2026-01-29,5.36,3.49,7.2
E005,P002,2026-01-29,5.14,5.12,7.2
E006,P002,2026-01-29,2.74,4.02,8.0
E007,P003,2026-01-29,1.52,1.34,4.0
E008,P003,2026-01-29,3.19,1.79,4.0
E009,P003,2026-01-29,2.94,4.03,7.2
E010,P003,2026-01-29,3.85,4.62,6.0
E001,P002,2026-01-30,1.81,1.2,7.2
E002,P003,2026-01-30,7.67,7.04,8.0
E003,P002,2026-01-30,1.6,1.45,4.0
E004,P002,2026-01-30,4.43,6.08,7.2
E005,P002,2026-01-30,0.73,0.0,7.2
E006,P003,2026-01-30,7.46,7.72,8.0
E007,P001,2026-01-30,3.69,4.52,4.0
E008,P002,2026-01-30,3.08,2.58,4.0
E009,P001,2026-01-30,3.05,4.0,7.2
E010,P001,2026-01-30,5.55,5.36,6.0
E001,P002,2026-01-31,1.7,0.36,7.2
E002,P002,2026-01-31,6.7,6.03,8.0
E003,P002,2026-01-31,2.08,2.44,4.0
E004,P001,2026-01-31,2.73,3.71,7.2
E005,P002,2026-01-31,5.78,3.8,7.2
E006,P001,2026-01-31,0.91,0.57,8.0
E007,P002,2026-01-31,3.68,3.06,4.0
E008,P002,2026-01-31,1.92,3.6,4.0
E009,P003,2026-01-31,0.24,1.89,7.2
E010,P002,2026-01-31,1.06,1.05,6.0
E001,P002,2026-02-01,0.24,0.0,7.2
E002,P001,2026-02-01,4.64,5.17,8.0
E003,P002,2026-02-01,2.65,1.37,4.0
E004,P001,2026-02-01,1.07,0.73,7.2
E005,P003,2026-02-01,7.18,7.19,7.2
E006,P001,2026-02-01,2.48,2.07,8.0
E007,P003,2026-02-01,0.84,2.43,4.0
E008,P002,2026-02-01,0.76,0.0,4.0
E009,P002,2026-02-01,6.02,6.37,7.2
E010,P001,2026-02-01,4.65,4.47,6.0
E001,P002,2026-02-02,3.85,3.77,7.2
E002,P002,2026-02-02,4.48,3.1,8.0
E003,P001,2026-02-02,1.34,0.0,4.0
E004,P003,2026-02-02,2.69,1.77,7.2
E005,P002,2026-02-02,3.79,4.99,7.2
E006,P003,2026-02-02,1.25,2.11,8.0
E007,P001,2026-02-02,1.63,1.84,4.0
E008,P003,2026-02-02,0.92,1.61,4.0
E009,P001,2026-02-02,4.28,3.64,7.2
E010,P001,2026-02-02,1.07,1.68,6.0
E001,P003,2026-02-03,5.19,6.41,7.2
E002,P002,2026-02-03,4.83,6.05,8.0
E003,P001,2026-02-03,0.56,0.19,4.0
E004,P003,2026-02-03,6.45,4.51,7.2
E005,P003,2026-02-03,5.3,6.69,7.2
E006,P001,2026-02-03,7.01,7.58,8.0
E007,P002,2026-02-03,3.57,4.84,4.0
E008,P003,2026-02-03,1.04,0.56,4.0
E009,P003,2026-02-03,0.25,1.57,7.2
E010,P001,2026-02-03,2.46,2.66,6.0
E001,P002,2026-02-04,6.2,5.08,7.2
E002,P002,2026-02-04,6.11,4.67,8.0
E003,P002,2026-02-04,2.26,4.2,4.0
E004,P003,2026-02-04,5.76,5.46,7.2
E005,P003,2026-02-04,3.69,4.66,7.2
E006,P002,2026-02-04,5.07,4.1,8.0
E007,P002,2026-02-04,2.58,2.27,4.0
E008,P002,2026-02-04,2.1,0.79,4.0
E009,P003,2026-02-04,4.92,6.21,7.2
E010,P001,2026-02-04,4.89,4.88,6.0
E001,P002,2026-02-05,3.99,4.6,7.2
E002,P002,2026-02-05,5.76,4.19,8.0
E003,P002,2026-02-05,0.55,2.15,4.0
E004,P002,2026-02-05,5.27,4.27,7.2
E005,P001,2026-02-05,4.79,3.49,7.2
E006,P001,2026-02-05,6.7,6.32,8.0
E007,P002,2026-02-05,2.08,0.26,4.0
E008,P002,2026-02-05,2.95,1.28,4.0
E009,P003,2026-02-05,1.77,1.32,7.2
E010,P003,2026-02-05,2.13,3.01,6.0
E001,P003,2026-02-06,4.39,6.19,7.2
E002,P003,2026-02-06,5.31,7.06,8.0
E003,P001,2026-02-06,1.94,1.01,4.0
E004,P003,2026-02-06,1.89,2.27,7.2
E005,P003,2026-02-06,6.09,7.92,7.2
E006,P003,2026-02-06,2.67,3.76,8.0
E007,P001,2026-02-06,1.38,0.78,4.0
E008,P001,2026-02-06,1.98,2.74,4.0
E009,P002,2026-02-06,3.31,1.61,7.2
E010,P002,2026-02-06,4.8,5.58,6.0
E001,P002,2026-02-07,0.04,0.0,7.2
E002,P001,2026-02-07,0.73,2.4,8.0
E003,P001,2026-02-07,3.16,3.92,4.0
E004,P001,2026-02-07,1.33,1.5,7.2
E005,P003,2026-02-07,5.27,6.5,7.2
E006,P003,2026-02-07,5.79,6.34,8.0
E007,P001,2026-02-07,3.61,4.2,4.0
E008,P003,2026-02-07,3.95,5.73,4.0
E009,P003,2026-02-07,0.32,0.67,7.2
E010,P001,2026-02-07,1.08,1.36,6.0
E001,P002,2026-02-08,2.25,0.73,7.2
E002,P003,2026-02-08,2.38,4.08,8.0
E003,P002,2026-02-08,1.69,2.87,4.0
E004,P003,2026-02-08,6.21,7.58,7.2
E005,P002,2026-02-08,3.76,4.34,7.2
E006,P002,2026-02-08,4.77,3.69,8.0
E007,P001,2026-02-08,0.31,1.09,4.0
E008,P002,2026-02-08,2.9,1.16,4.0
E009,P003,2026-02-08,5.79,5.94,7.2
E010,P002,2026-02-08,1.91,2.42,6.0
E001,P001,2026-02-09,4.43,3.37,7.2
E002,P003,2026-02-09,3.7,5.66,8.0
E003,P003,2026-02-09,3.5,3.61,4.0
E004,P003,2026-02-09,0.5,0.0,7.2
E005,P001,2026-02-09,5.52,5.13,7.2
E006,P001,2026-02-09,3.84,4.16,8.0
E007,P003,2026-02-09,1.59,0.0,4.0
E008,P003,2026-02-09,1.69,2.64,4.0
E009,P002,2026-02-09,0.02,0.0,7.2
E010,P002,2026-02-09,5.12,5.98,6.0
E001,P001,2026-02-10,0.3,0.0,7.2
E002,P002,2026-02-10,0.36,0.0,8.0
E003,P001,2026-02-10,2.72,1.59,4.0
E004,P002,2026-02-10,5.75,4.78,7.2
E005,P002,2026-02-10,7.07,8.61,7.2
E006,P003,2026-02-10,7.23,9.19,8.0
E007,P003,2026-02-10,3.96,2.89,4.0
E008,P001,2026-02-10,2.6,3.03,4.0
E009,P001,2026-02-10,0.87,0.0,7.2
E010,P001,2026-02-10,1.32,0.07,6.0
E001,P003,2026-02-11,5.95,7.15,7.2
E002,P002,2026-02-11,7.75,9.29,8.0
E003,P003,2026-02-11,2.39,2.49,4.0
E004,P003,2026-02-11,2.85,3.89,7.2
E005,P002,2026-02-11,7.17,8.76,7.2
E006,P003,2026-02-11,1.8,0.69,8.0
E007,P003,2026-02-11,0.14,1.72,4.0
E008,P001,2026-02-11,0.37,1.88,4.0
E009,P003,2026-02-11,1.97,1.87,7.2
E010,P003,2026-02-11,5.73,7.18,6.0
E001,P001,2026-02-12,2.37,4.1,7.2
E002,P003,2026-02-12,0.7,0.33,8.0
E003,P003,2026-02-12,0.02,0.8,4.0
E004,P002,2026-02-12,3.83,5.68,7.2
E005,P001,2026-02-12,6.44,8.41,7.2
E006,P002,2026-02-12,3.96,3.88,8.0
E007,P001,2026-02-12,3.63,3.91,4.0
E008,P002,2026-02-12,2.18,3.63,4.0
E009,P001,2026-02-12,6.33,7.52,7.2
E010,P001,2026-02-12,0.94,0.0,6.0
E001,P001,2026-02-13,6.03,6.82,7.2
E002,P002,2026-02-13,0.85,1.64,8.0
E003,P003,2026-02-13,3.53,5.37,4.0
E004,P001,2026-02-13,0.21,1.51,7.2
E005,P002,2026-02-13,5.9,4.82,7.2
E006,P003,2026-02-13,1.29,2.56,8.0
E007,P002,2026-02-13,3.03,2.06,4.0
E008,P002,2026-02-13,1.15,1.62,4.0
E009,P001,2026-02-13,4.03,2.49,7.2
E010,P002,2026-02-13,3.8,3.96,6.0
E001,P003,2026-02-14,0.92,0.06,7.2
E002,P003,2026-02-14,4.33,6.18,8.0
E003,P003,2026-02-14,1.57,0.29,4.0
E004,P001,2026-02-14,0.74,2.49,7.2
E005,P002,2026-02-14,6.82,5.49,7.2
E006,P002,2026-02-14,5.67,5.56,8.0
E007,P002,2026-02-14,2.48,0.67,4.0
E008,P002,2026-02-14,3.96,4.66,4.0
E009,P003,2026-02-14,0.94,1.97,7.2
E010,P003,2026-02-14,0.39,1.68,6.0
E001,P003,2026-02-15,3.52,4.6,7.2
E002,P002,2026-02-15,0.01,0.0,8.0
E003,P002,2026-02-15,3.99,3.69,4.0
E004,P001,2026-02-15,6.15,6.26,7.2
E005,P001,2026-02-15,4.99,3.88,7.2
E006,P002,2026-02-15,6.18,5.1,8.0
E007,P003,2026-02-15,1.09,2.9,4.0
E008,P001,2026-02-15,3.77,3.45,4.0
E009,P003,2026-02-15,6.94,7.98,7.2
E010,P001,2026-02-15,5.9,5.54,6.0
E001,P002,2026-02-16,1.66,0.51,7.2
E002,P001,2026-02-16,5.21,4.69,8.0
E003,P003,2026-02-16,1.89,2.06,4.0
E004,P002,2026-02-16,1.47,0.0,7.2
E005,P003,2026-02-16,3.27,3.39,7.2
E006,P003,2026-02-16,5.01,3.53,8.0
E007,P001,2026-02-16,3.65,5.52,4.0
E008,P002,2026-02-16,1.85,0.0,4.0
E009,P003,2026-02-16,0.9,1.64,7.2
E010,P001,2026-02-16,1.2,1.17,6.0
E001,P003,2026-02-17,4.69,3.99,7.2
E002,P002,2026-02-17,6.38,5.62,8.0
E003,P001,2026-02-17,0.6,0.46,4.0
E004,P002,2026-02-17,2.83,2.75,7.2
E005,P003,2026-02-17,5.2,5.83,7.2
E006,P001,2026-02-17,6.88,8.0,8.0
E007,P003,2026-02-17,1.92,0.34,4.0
E008,P001,2026-02-17,0.41,0.69,4.0
E009,P003,2026-02-17,3.59,4.06,7.2
E010,P001,2026-02-17,3.36,1.4,6.0
E001,P001,2026-02-18,3.73,2.08,7.2
E002,P001,2026-02-18,0.66,1.96,8.0
E003,P002,2026-02-18,1.59,0.12,4.0
E004,P003,2026-02-18,1.45,2.22,7.2
E005,P003,2026-02-18,1.44,0.11,7.2
E006,P001,2026-02-18,7.61,6.11,8.0
E007,P003,2026-02-18,0.13,1.87,4.0
E008,P003,2026-02-18,2.45,1.65,4.0
E009,P002,2026-02-18,4.5,5.64,7.2
E010,P003,2026-02-18,4.89,3.21,6.0
E001,P002,2026-02-19,5.88,5.69,7.2
E002,P003,2026-02-19,0.33,0.0,8.0
E003,P002,2026-02-19,0.33,0.0,4.0
E004,P003,2026-02-19,4.68,4.6,7.2
E005,P003,2026-02-19,1.58,3.48,7.2
E006,P001,2026-02-19,1.46,2.62,8.0
E007,P003,2026-02-19,0.17,0.0,4.0
E008,P002,2026-02-19,2.88,1.79,4.0
E009,P001,2026-02-19,3.55,1.88,7.2
E010,P003,2026-02-19,4.08,2.37,6.0
E001,P003,2026-02-20,1.47,2.83,7.2
E002,P001,2026-02-20,6.95,7.85,8.0
E003,P001,2026-02-20,3.38,3.9,4.0
E004,P002,2026-02-20,7.11,5.27,7.2
E005,P001,2026-02-20,3.7,4.05,7.2
E006,P002,2026-02-20,5.8,5.75,8.0
E007,P002,2026-02-20,2.39,3.56,4.0
E008,P003,2026-02-20,1.11,1.48,4.0
E009,P002,2026-02-20,2.59,2.12,7.2
E010,P002,2026-02-20,3.79,4.72,6.0
E001,P003,2026-02-21,5.59,5.21,7.2
E002,P002,2026-02-21,1.44,0.39,8.0
E003,P002,2026-02-21,2.05,1.7,4.0
E004,P002,2026-02-21,3.54,2.53,7.2
E005,P001,2026-02-21,3.21,3.27,7.2
E006,P001,2026-02-21,5.3,3.68,8.0
E007,P001,2026-02-21,1.56,3.44,4.0
E008,P002,2026-02-21,3.43,1.47,4.0
E009,P001,2026-02-21,5.57,4.09,7.2
E010,P001,2026-02-21,1.42,0.36,6.0
E001,P002,2026-02-22,0.53,0.0,7.2
E002,P002,2026-02-22,3.59,4.27,8.0
E003,P001,2026-02-22,1.72,0.72,4.0
E004,P003,2026-02-22,6.83,5.84,7.2
E005,P002,2026-02-22,1.21,0.0,7.2
E006,P001,2026-02-22,2.85,2.99,8.0
E007,P001,2026-02-22,3.38,4.6,4.0
E008,P003,2026-02-22,3.47,2.3,4.0
E009,P001,2026-02-22,0.25,2.19,7.2
E010,P001,2026-02-22,3.19,4.93,6.0
E001,P001,2026-02-23,4.61,3.51,7.2
E002,P001,2026-02-23,7.47,6.74,8.0
E003,P001,2026-02-23,2.34,3.09,4.0
E004,P001,2026-02-23,3.46,4.2,7.2
E005,P002,2026-02-23,6.85,7.41,7.2
E006,P001,2026-02-23,4.64,3.66,8.0
E007,P003,2026-02-23,1.96,2.62,4.0
E008,P003,2026-02-23,0.12,0.0,4.0
E009,P002,2026-02-23,1.45,2.15,7.2
E010,P002,2026-02-23,1.13,2.05,6.0
E001,P001,2026-02-24,3.2,4.67,7.2
E002,P002,2026-02-24,2.04,2.69,8.0
E003,P003,2026-02-24,3.78,4.51,4.0
E004,P002,2026-02-24,1.76,3.08,7.2
E005,P003,2026-02-24,4.11,2.23,7.2
E006,P001,2026-02-24,5.52,6.22,8.0
E007,P003,2026-02-24,3.76,5.07,4.0
E008,P001,2026-02-24,2.31,1.7,4.0
E009,P002,2026-02-24,7.2,5.39,7.2
E010,P001,2026-02-24,5.2,7.17,6.0
E001,P001,2026-02-25,5.63,5.9,7.2
E002,P001,2026-02-25,0.87,1.47,8.0
E003,P002,2026-02-25,1.31,1.98,4.0
E004,P002,2026-02-25,6.49,8.0,7.2
E005,P003,2026-02-25,3.14,4.41,7.2
E006,P002,2026-02-25,4.36,2.38,8.0
E007,P003,2026-02-25,2.52,2.96,4.0
